repeat,fold,model,stage,search_strategy,threshold,best_inner_score,best_params,mcc,balanced_accuracy,f1,recall,specificity,precision,tn,fp,fn,tp,roc_auc,pr_auc
6,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7330131648613697,"{""feature_selector__k"": 12, ""model__C"": 2.283178142495546, ""model__l1_ratio"": 0.025272558855292226}",0.6427254428713529,0.798951048951049,0.7567567567567568,0.6363636363636364,0.9615384615384616,0.9333333333333333,25,1,8,14,0.9178321678321679,0.9031822425142064
6,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6919503542624756,"{""feature_selector__k"": 14, ""model__C"": 0.1092794541807386, ""model__l1_ratio"": 0.11979286824385382}",0.7901744265512675,0.8933566433566433,0.8837209302325582,0.8636363636363636,0.9230769230769231,0.9047619047619048,24,2,3,19,0.9300699300699301,0.9469978994048314
6,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7306874810664575,"{""feature_selector__k"": 8, ""model__C"": 0.6593979235060177, ""model__l1_ratio"": 0.22403272243599415}",0.5017452060042544,0.7517482517482517,0.7391304347826086,0.7727272727272727,0.7307692307692307,0.7083333333333334,19,7,5,17,0.854020979020979,0.8259930258431202
7,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7291235453514148,"{""feature_selector__k"": 16, ""model__C"": 0.20290351469270343, ""model__l1_ratio"": 0.8605760662705164}",0.5172160272527695,0.7466555183946488,0.7,0.6086956521739131,0.8846153846153846,0.8235294117647058,23,3,9,14,0.8193979933110368,0.7943676055291626
7,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6445197431610649,"{""feature_selector__k"": 18, ""model__C"": 0.06042011133361716, ""model__l1_ratio"": 0.11397449680300842}",0.881630720467888,0.9318181818181819,0.926829268292683,0.8636363636363636,1.0,1.0,27,0,3,19,0.9966329966329966,0.9962121212121212
7,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6361857835041924,"{""feature_selector__k"": 11, ""model__C"": 0.22786302302048725, ""model__l1_ratio"": 0.593939665874199}",0.7491587023046328,0.8706293706293706,0.8571428571428571,0.8181818181818182,0.9230769230769231,0.9,24,2,4,18,0.9335664335664335,0.9336053528029229
7,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6685491080816433,"{""feature_selector__k"": 19, ""model__C"": 0.1945445276884801, ""model__l1_ratio"": 0.18583174382757056}",0.6643482831758064,0.8286713286713286,0.8095238095238095,0.7727272727272727,0.8846153846153846,0.85,23,3,5,17,0.9370629370629371,0.9346029441627017
7,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7535842583794551,"{""feature_selector__k"": 8, ""model__C"": 0.5006742585808649, ""model__l1_ratio"": 0.08387580715319143}",0.4568455033435322,0.729020979020979,0.7111111111111111,0.7272727272727273,0.7307692307692307,0.6956521739130435,19,7,6,16,0.7867132867132867,0.8093487974482909
8,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6820550860163542,"{""feature_selector__k"": 19, ""model__C"": 7.665772840100538, ""model__l1_ratio"": 0.21147947596076444}",0.7165522469384559,0.8528428093645486,0.8372093023255814,0.782608695652174,0.9230769230769231,0.9,24,2,5,18,0.9080267558528429,0.9176233484230465
8,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7234910636593289,"{""feature_selector__k"": 19, ""model__C"": 0.10329102571783577, ""model__l1_ratio"": 0.06053560945635911}",0.5448462751310045,0.771043771043771,0.7441860465116279,0.7272727272727273,0.8148148148148148,0.7619047619047619,22,5,6,16,0.8855218855218855,0.8740617281176011
8,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7250381005784284,"{""feature_selector__k"": 7, ""model__C"": 0.21212403366508126, ""model__l1_ratio"": 0.563031509293123}",0.6312140160700712,0.8164335664335665,0.8085106382978723,0.8636363636363636,0.7692307692307693,0.76,20,6,3,19,0.8557692307692307,0.8065569737523934
8,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7246140088778658,"{""feature_selector__k"": 7, ""model__C"": 0.1667294793902208, ""model__l1_ratio"": 0.2465666484884248}",0.4965034965034965,0.7482517482517483,0.7272727272727273,0.7272727272727273,0.7692307692307693,0.7272727272727273,20,6,6,16,0.861013986013986,0.8359719172945916
8,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6697941744167544,"{""feature_selector__k"": 6, ""model__C"": 0.5756996137648585, ""model__l1_ratio"": 0.009059675511298437}",0.7176172998042787,0.8444055944055944,0.8205128205128205,0.7272727272727273,0.9615384615384616,0.9411764705882353,25,1,6,16,0.875,0.8920931115267228
9,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6351303179086828,"{""feature_selector__k"": 12, ""model__C"": 0.1121895934804288, ""model__l1_ratio"": 0.8730304915292537}",0.7997538111564282,0.8938127090301003,0.8837209302325582,0.8260869565217391,0.9615384615384616,0.95,25,1,4,19,0.9297658862876254,0.9361910477386988
9,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6737319045673783,"{""feature_selector__k"": 9, ""model__C"": 2.5114086892040994, ""model__l1_ratio"": 0.0767634457641888}",0.6289996953045751,0.8080808080808081,0.7804878048780488,0.7272727272727273,0.8888888888888888,0.8421052631578947,24,3,6,16,0.8737373737373737,0.8386894070128507
9,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7424141122936719,"{""feature_selector__k"": 12, ""model__C"": 0.07821713159381123, ""model__l1_ratio"": 0.3177470623106461}",0.5913123959890826,0.7797202797202798,0.7368421052631579,0.6363636363636364,0.9230769230769231,0.875,24,2,8,14,0.8566433566433567,0.8609428122347287
9,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6383588662404013,"{""feature_selector__k"": 12, ""model__C"": 0.4624847935386291, ""model__l1_ratio"": 0.1885260425615482}",0.7491587023046328,0.8706293706293706,0.8571428571428571,0.8181818181818182,0.9230769230769231,0.9,24,2,4,18,0.9667832167832168,0.9568614540624569
9,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6839214888719495,"{""feature_selector__k"": 9, ""model__C"": 0.05236535592151909, ""model__l1_ratio"": 0.055388993179399076}",0.6216038822203304,0.8094405594405594,0.7906976744186046,0.7727272727272727,0.8461538461538461,0.8095238095238095,22,4,5,17,0.8479020979020979,0.8214582955176475
10,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6994625919511123,"{""feature_selector__k"": 12, ""model__C"": 0.1573167195928581, ""model__l1_ratio"": 0.43022130388166646}",0.590240205812357,0.7926421404682273,0.7727272727272727,0.7391304347826086,0.8461538461538461,0.8095238095238095,22,4,6,17,0.8846153846153846,0.8432002507118126
10,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6420884239195961,"{""feature_selector__k"": 10, ""model__C"": 0.04001501210999031, ""model__l1_ratio"": 0.1664610228354404}",0.6838936797839589,0.8223905723905723,0.7894736842105263,0.6818181818181818,0.9629629629629629,0.9375,26,1,7,15,0.9478114478114478,0.9457890010433635
10,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6893195524501845,"{""feature_selector__k"": 17, ""model__C"": 24.62949589839639, ""model__l1_ratio"": 0.850460386666251}",0.4947274449181537,0.7447552447552448,0.7142857142857143,0.6818181818181818,0.8076923076923077,0.75,21,5,7,15,0.8618881118881119,0.8828793555697483
10,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.680719023379576,"{""feature_selector__k"": 12, ""model__C"": 0.08090678719869042, ""model__l1_ratio"": 0.28564910363708784}",0.7176172998042787,0.8444055944055944,0.8205128205128205,0.7272727272727273,0.9615384615384616,0.9411764705882353,25,1,6,16,0.916083916083916,0.9325554420450284
10,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7340759235135929,"{""feature_selector__k"": 17, ""model__C"": 53.479612125386524, ""model__l1_ratio"": 0.10079272312721163}",0.5405423894522708,0.770979020979021,0.7555555555555555,0.7727272727272727,0.7692307692307693,0.7391304347826086,20,6,5,17,0.8723776223776224,0.8892503692127496
